infered_area_id,total_ubertaxi_rides,total_yellowtaxi_rides,infered_area_geometry,market_potential
59,33,8,"POLYGON ((-73.98699999999999 40.6797, -73.98739999999999 40.679, -73.9872 40.6774, -73.98439999999999 40.6757, -73.9833 40.6754, -73.98009999999999 40.6754, -73.980125 40.676885, -73.9803 40.6779, -73.9815 40.68, -73.98699999999999 40.6797))",0.1951219512195122
60,51,2,"POLYGON ((-73.9785 40.6747, -73.981245 40.671292, -73.9798 40.669, -73.97620000000001 40.6668, -73.976 40.6667, -73.97450000000001 40.668, -73.9727 40.6697, -73.97150000000001 40.671, -73.9743 40.6748, -73.9752 40.676, -73.9755 40.6761, -73.9785 40.6747))",0.03773584905660377
61,26,6,"POLYGON ((-73.96769999999999 40.6874, -73.96608499999999 40.689637, -73.9662 40.6898, -73.97239999999999 40.6932, -73.97280000000001 40.6927, -73.973792 40.68964699999999, -73.9713 40.6876, -73.96769999999999 40.6874))",0.1875
62,10,6,"POLYGON ((-73.973867 40.676897, -73.97199999999999 40.6784, -73.97410000000001 40.6818, -73.97483199999999 40.680291, -73.9742 40.6773, -73.973867 40.676897))",0.375
63,57,7,"POLYGON ((-73.9808 40.6838, -73.9773 40.681, -73.9729 40.683, -73.9725 40.6866, -73.9729 40.6882, -73.9768 40.6883, -73.9808 40.6838))",0.109375
64,10,5,"POLYGON ((-73.99890000000001 40.7523, -73.99850000000001 40.7505, -73.99720000000001 40.7497, -73.9969 40.7496, -73.997 40.7506, -73.99720000000001 40.7513, -73.99890000000001 40.7523))",0.3333333333333333
65,18,2,"POLYGON ((-73.986 40.7144, -73.9867 40.7128, -73.98520000000001 40.7131, -73.98183 40.714527, -73.9819 40.7146, -73.9837 40.7161, -73.986 40.7144))",0.1
66,15,31,"POLYGON ((-73.9701 40.8023, -73.9731 40.7985, -73.97329999999999 40.7978, -73.97329999999999 40.796955, -73.97199999999999 40.7971, -73.968982 40.798496, -73.968576 40.798981, -73.968388 40.799213, -73.96801500000001 40.799725, -73.9697 40.802, -73.9701 40.8023))",0.6739130434782609
67,24,10,"POLYGON ((-73.97620000000001 40.7235, -73.97620000000001 40.7253, -73.9777 40.7257, -73.979 40.725, -73.97969999999999 40.7237, -73.9795 40.7236, -73.9783 40.7231, -73.9766 40.7231, -73.97629999999999 40.7233, -73.97620000000001 40.7235))",0.29411764705882354
68,14,9,"POLYGON ((-74.0004 40.7144, -73.998355 40.713227, -73.99720000000001 40.7141, -73.99679999999999 40.7149, -73.9988 40.715, -73.999589 40.714982, -74.0004 40.7144))",0.391304347826087
